parameter,mle_value,theta_u_value
alpha,-10.090332835356456,-10.090332835356456
phi,0.993644437491116,2.8741946016571975
sigma_eta,0.33059531218297433,-1.106860273420567
rho,-0.4377368190622002,-0.4694277345180247
