,Post Mean,Post SD,MCSE,95% CI Lower,95% CI Upper,Gelman-Rubin R̂,ESS,Geweke Max |Z|
alpha,-10.001278787549946,0.2752846089462512,0.004654302671008248,-10.570440392895561,-9.491336080080718,1.0003931758691051,3498.299838613827,-2.481394538545727
phi,0.9931687062197929,0.0011959071493979304,1.8429372947562002e-05,0.9905421089044215,0.9951982483451838,1.00033393677018,4210.912523949648,2.1933187530152134
sigma_eta,0.3271839852511258,0.02936162241245767,0.00044159406540963595,0.2704559828312037,0.38525624213757476,1.0001000998759613,4420.954599377273,1.4718762410689705
rho,-0.4471918823720886,0.05322956121803988,0.0008159263139279137,-0.5638512072981391,-0.35522536246796216,1.0002296651555334,4256.045930548815,1.6735025776359633
