parameter,mle_value,theta_u_value
alpha,-9.064819491757202,-9.064819491757202
phi,0.9890185648048996,2.5995952375362754
sigma_eta,0.14899158574582047,-1.903865446135814
rho,-0.9998108745623042,-4.633076342454069
