,Post Mean,Post SD,MCSE,95% CI Lower,95% CI Upper,Gelman-Rubin R̂,ESS,Geweke Max |Z|
alpha,-9.033628212500675,0.03441632121770601,0.0008107555474695025,-9.096944720251967,-8.96440838005859,1.00012139921584,1801.9861462482806,-2.2600224380683964
phi,0.9877825208747713,0.001441273025411874,3.9763042962678776e-05,0.9848490693480902,0.9904395692660803,1.0026776643039306,1313.819504522242,2.0515793596445384
sigma_eta,0.20380870276445906,0.04904677402865531,0.002180011588300769,0.14826678739409507,0.33560682155609584,1.0060681853591817,506.1808417238663,-4.038402567571398
rho,-0.6143596677075889,0.2154268952798353,0.006879294844077492,-0.9731813860894983,-0.17459106514735886,1.0023459336217098,980.6508533301256,-3.1653120289767687
