timestamp,h_L2,h_L3,difference_L2_minus_L3,absolute_error,squared_error,delta_h_L2,delta_h_L3,delta_difference
2018-03-15 00:00:00+00:00,-8.967876594851237,-9.959700826359944,0.9918242315087067,0.9918242315087067,0.9837153062078366,,,
2018-03-16 00:00:00+00:00,-8.856912377217688,-9.966018811206846,1.109106433989158,1.109106433989158,1.2301170819161467,0.11096421763354947,-0.006317984846901936,0.1172822024804514
2018-03-19 00:00:00+00:00,-8.629380006804485,-9.656461294276216,1.0270812874717308,1.0270812874717308,1.054895971074588,0.2275323704132024,0.3095575169306297,-0.08202514651742732
2018-03-20 00:00:00+00:00,-8.663911491842166,-9.676879500826349,1.012968008984183,1.012968008984183,1.02610418722538,-0.034531485037680554,-0.020418206550132822,-0.014113278487547731
2018-03-21 00:00:00+00:00,-8.645997179966558,-9.629880709426216,0.9838835294596571,0.9838835294596571,0.9680267995419919,0.017914311875607325,0.0469987914001333,-0.029084479524525975
2018-03-22 00:00:00+00:00,-8.474967425793679,-9.15945264845082,0.6844852226571412,0.6844852226571412,0.46852002003599613,0.17102975417287958,0.47042806097539547,-0.2993983068025159
2018-03-23 00:00:00+00:00,-7.9570660874911665,-8.84730113204962,0.8902350445584544,0.8902350445584544,0.7925184345599933,0.5179013383025124,0.3121515164011992,0.2057498219013132
2018-03-26 00:00:00+00:00,-8.279337096671323,-9.182545192191936,0.903208095520613,0.903208095520613,0.8157848638139727,-0.32227100918015683,-0.33524406014231545,0.012973050962158617
2018-03-27 00:00:00+00:00,-8.07210200930432,-8.930287145035695,0.8581851357313752,0.8581851357313752,0.7364817271902789,0.20723508736700325,0.252258047156241,-0.04502295978923776
2018-03-28 00:00:00+00:00,-8.076343470018983,-8.893716544184484,0.8173730741655003,0.8173730741655003,0.6680987423707605,-0.004241460714663248,0.036570600851211665,-0.04081206156587491
2018-03-29 00:00:00+00:00,-8.18642199978043,-9.055783566394556,0.8693615666141259,0.8693615666141259,0.7557895335057673,-0.11007852976144683,-0.1620670222100724,0.05198849244862558
2018-04-02 00:00:00+00:00,-7.982063505377173,-8.757071850908412,0.7750083455312389,0.7750083455312389,0.6006379356430681,0.20435849440325704,0.29871171548614406,-0.09435322108288702
2018-04-03 00:00:00+00:00,-8.100307471716928,-8.911115964441692,0.8108084927247639,0.8108084927247639,0.6574104118746035,-0.11824396633975454,-0.15404411353327951,0.03580014719352498
2018-04-04 00:00:00+00:00,-8.300660480257172,-9.048181799306237,0.7475213190490653,0.7475213190490653,0.5587881224328545,-0.20035300854024385,-0.13706583486454527,-0.06328717367569858
2018-04-05 00:00:00+00:00,-8.22455714135024,-9.154800693023072,0.9302435516728309,0.9302435516728309,0.8653530654288828,0.07610333890693077,-0.10661889371683486,0.18272223262376563
2018-04-06 00:00:00+00:00,-8.102965307151118,-8.82918026881939,0.7262149616682727,0.7262149616682727,0.5273881705508507,0.12159183419912267,0.32562042420368087,-0.2040285900045582
2018-04-09 00:00:00+00:00,-8.18154968192152,-8.89215852497124,0.7106088430497195,0.7106088430497195,0.5049649278204609,-0.07858437477040248,-0.06297825615184927,-0.01560611861855321
2018-04-10 00:00:00+00:00,-8.335067408152117,-9.092912173337837,0.7578447651857196,0.7578447651857196,0.5743286881193985,-0.15351772623059645,-0.2007536483665966,0.04723592213600014
2018-04-11 00:00:00+00:00,-8.360922378994822,-9.018641205571305,0.6577188265764828,0.6577188265764828,0.4325940548331455,-0.025854970842704716,0.07427096776653208,-0.1001259386092368
2018-04-12 00:00:00+00:00,-8.398280620228727,-9.128625089973186,0.730344469744459,0.730344469744459,0.5334030444863149,-0.037358241233905076,-0.10998388440188123,0.07262564316797615
2018-04-13 00:00:00+00:00,-8.41985647920114,-9.085325584405972,0.6654691052048314,0.6654691052048314,0.44284912998211895,-0.021575858972413542,0.04329950556721407,-0.06487536453962761
2018-04-16 00:00:00+00:00,-8.532523051789925,-9.197886182474193,0.665363130684268,0.665363130684268,0.4427080956739703,-0.11266657258878432,-0.11256059806822094,-0.00010597452056337886
